,product,title,rating,body
0,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Replacement received from Amazon and it's working fine,4.0,"The media could not be loaded.
                




   Never expected to write a negative review for OnePlus Product !1. Screen Flickering is the most common problem2. Half of the times, TV doesn't start with a single button press.3. Booting takes atleast 20 seconds4. Screen goes all the ways blank in middle of play time.5. Audio is dud - Not sufficient for my 10X10 ft bedroom6. System lag is the maximum in this class of TV'sEdit: 23/07/2020Amazon declined to replace and offered refund of 19,600/- as against 23k which I paid for the TV. All I have to do now is to live with a defective TV, as I had invested in the wallmount and the allied services. OnePlus SettledEdit: 27/07/2020Product is back in stock. Amazon accepted for replacement after technician report. But, defective product is yet to be picked up and the replacement is yet to be shipped. Awaiting further details. Brand is not at all acting in the customers interest. Very bad response for OnePlus.Edit: 6/8/2020Received the replacement TV from Amazon and the TV if working fine as of now. I installed it on the wall by myself. A bit of lag and sound issues, but the screen stuttering is gone."
1,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Cinematic picture quality with low quality sound bar,4.0,"TV is beautiful with minute bezels.I was pleased by the picture quality in firstI expected a smooth software from oneplus but TV operation is bit slow probably due to 1gb ram and lower clocked processor. Can't complaint at this price point. Wish oneplus would release better optimized software in update. Software update was one of my reason to buy TV from oneplus.Response from the bluetooth remote was bit slow.But hold bluetooth was very functional. Might be as it is bluetooth 5.0, TV was able to connect to 3+ devices at a time. 1 mobile, 1 bluetooth speaker and remote. That's great.Coming to sound, Speaker quality isn't upto mark. You have multiple options to enhance audio (dolby, surround, presets, dialogue enhancer etc) probably that's the reason oneplus skipped 3.5mm output and opted for optical and HDMI ARC ports to provide quality auido output on external speaker. You should go RCA audio adapters if you want 3.5mm input else connect to speakers using bluetooth adapter. That would cost additional if you want to.If you look for picture quality, minimal design and stick to few ott app this TV is for you.For power users and those who use only 3.5 jack to connect speakers look else where.Update :Oneplus released major update and UI and remote control navigation seems improved now.But setup of new Bluetooth connection got buggy. Im not able to connect to new devices. It is looping back to searching devices after clicking on device after search list"
2,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Y DIS Y series?,1.0,"ere is my experience with the Oneplus LAGGY tv32Y model. Here is a list of issues with your product.1. connected to Samsung mobile through google home as the tv isn't connecting through Samsung smart view. always says unable to connect, try again. And even through the google home, it is struggling too much to even cast the photos and forget about casting the videos.2. Neither windows nor Mac is recognising The tv in wireless mode. Had to use third party app from play store to Airplay my Mac n gues what, windows is not recognising the tv. It is really shocking to see Mac recognised where Windows couldn’t (using third party play store app).3. To my bad, even through third party play store app, it is laggy half of the times.4. And how can I ignore to say about Oneplus connect app, Its a wonders**t app, do the gesture wait for couple of seconds and then it responds and you can’t access files through the connect app on this tv.5. And sound, it has options by the name, dolby Audio and Dolby digital plus, fix this in your mind, these two features are just names and these does change the sound experience by zero percentage.6. On Youtube, video quality is limited to 1080p, best to use HDMi cable to your happy and play 4K, only then it felt better than any other video quality experience of this tv.7. Opening and closing apps, is like suspense thriller movie scene experience, you will be waiting to know when it will respond.sometimes suspense extends to 3-10 seconds.8. Viewing angles? acceptable for this price.9. Colors? Green is worst of all and then red , black is good, blue colors are worst, yellows are good and the rest that you find are acceptable.10. Display quality? If any of you ever used the Chinese phones of the last decade, you will get the exact same feeling. I promise you this.11. Best option to put  good use of display and colors is to use pen drive, hard disk or HDMI and play the 4k or full HD videos. This is the only way that this display can make you happy.12. And the remote, the menu button literally never worked on  any app nor on home page. It just exists with void function assigned to it.13. Almost forgot about voice search that is google assistance, 10 out of 10 times, it took 3-10 seconds to launch it.14. Opening an app, Fix in your mind that it will take at least 3-10.15. Once you connect Bluetooth accessory, you have to remove the device from the list, if you want to connect it to other device. you will not have an option to disconnect."
3,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),"Contrast Ratio, Viewing Angle, Colours, All Good.",5.0,"I will be brief here.Unboxing:No wall Mount.No Display cables.Plastic stands.Thin TV.Pros:Contrast Ratio is Amazing. Black level is amazing.Viewing angles r fine.Awesome Colour accuracy.Latest Android version.Cons:Poor quality Speakers.Little bit laggy, probably the OS.The panel is awesome, TV won’t lag when playing video, and it’s really okay, android phones have similar issues.As for speakers, why would you use inbuilt speakers?What matters most is Contrast Ratio, Colour range, viewing angles, and clarity.They r all good in this price range, no 20k-35k 43” FULL HD TV could do better.AMAZON INSTALLATION:I didn’t get the wall mount, cause installation guys were charging me for it!TV is good, Amazon Service is getting poorer."
4,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Best Budget TV,5.0,"After 10 days usage :1. Display is good not best2. Sound could have been better.3. Gamma Engine Not performed well3. UI is Decent(Modern Lightweight UI).4. Netflix,Amazon Prime YouTube and few apps are Preloaded5. Inbuilt Chromecast Performing Well5. bezels Design perfect6. Best Budget Android Smart TV7. Major advantage of this TV is Google assistant . Works like a charm everywhere and you don't have to type.8. Some Bugs Present in TV OS"
5,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),First to review Awesome TV with cherry on the cake.,5.0,"First to review 43y1, as my experience with 43 inch So far i liked the Tv.Tv is by default on energy saving picture mode, change to desire mode to get best picture experience, as i changed many picture settings the picture quality is way better than MI & realme me.Sound quality for my living room is more than enough, dolby atmos work carm with my Tatasky HD channels as they support dolby audio.The Lag is fixed to much extent.last input memory is also fixed, TV remembers the last input before switching off.The installation was bit crisp as the guy didn't turn on the promised date, so amazon escalated and yesterday new guy came and installated.Cherry on the cake the installation was free also the wall mount bracket worth Rs500 was provided free by the installation team.Installed and the demo was given very promptly.Also to be noted this 43 inches has different graphic processor than 32 inches G51 Mp3Updating my experience of 4 days -Experienced lag nly twice in 4 days.TV takes a approx of 1 min to get ON.There's a bit motion blur, which would be fixed by update, as it arises due to the DNR in the settings.Sound output is overall good at this range can't expect soundbar like bass.Pre-Book extended warranty has been activated and mail confirmation received from acko.Picture quality is just awesome, with setting proper backlight, contrast etc.Blacks are properly seen black.This has VA panel and i am not much concerned about viewing angles. VA Panels are best for the straight view angle as they produce good contrast and color reproduction,this TV does the same.Viewing angle can't be reviewed from my end as I did see blur when viewd at 150 angle which is obvious for VA panel.Data saver option and alexa support is yet to be updated in this TV.As of now no alexa support for this TV as there's no option to login to oneplus account, so my free echo dot is not of use with this TV as of now, may be they will provide the update to this.Updating my review with some test done1) RGB colour gamat test is performing perfectly on this TV. As you can see computer rgb reproduce proper color.2)motion blur is too much in this TV, expect to be fix via update.3) TV remote is Bluetooth and IR both, i turned of my bluetooth of Remote and using on IR as it's draining battery, when on IR you can't use Google assistant function.4) No support for Echo dot as of now confirmed, hopefully will be in update.5) No data saver option yet.6) backlight bleeding is present at 10% which is common for LED Tv.7) color reproduction is good too.Updating my review to some clarification and my experience 26/071) As echo dot is not compatible and no1 from oneplus has spoken about echo dot compatibility with Y series, i returned my echo dot for full refund.2)Those posting negative reviews due to echo dot not received, kindly add echo dot from cloudtail in cart with oneplus tv, u vll get it for free.3)Those posting negative reviews that after tv return oneplus gave nly 19965 rs, please return your echo dot too they remaining approx 3045rs will be refunded then only.4)I connected my JBl sound bar and watched movies on Prime , I bet the dolby atmos did its work 100%, and its natural u can't expect soundbar sound at 23k.5) pre-book cashback of 1000rs is credited to my amazon pay balance."
6,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Worst TV ever. Don't buy,1.0,I got it delivered by 21 july. Shipping was good but then bright spots started showing from the next day. Product quality isn't good too. I advise you not to buy this oneplus TV's
7,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Worthy in this budget segment TVs,3.0,"1. Picture quality is good. Look & Feel is good. I would quote ""Best in this segment TVs."" I have explored most of the well noted brands in this price segment.2. Sound is 3/5. With Dolby Digital Plus enabled, it is better.3. TV build quality is good, Viewing Angles are good too.4. 4K Videos will be reset to 1080p and this is the maximum resolution for any video.5. Only 4.6GB memory is available out of 8GB.6. Oxygen Play is useless.7. There is bloatware instead of oneplus clean software motto.8. Accessing Tv with Oneplus connect App is 1 out of 5. Its a disaster.9. Wall Mount is free. It will be brought by installation provider, do not shell extra bucks for wall mount or installation.10. Apps take ~10 sec to open, I am expecting optimization over next updates.11. USB Ports doesn't support FAT32 Memory sticks (Pendrive, Hard Disk, or Phone). I am disappointed for this one.12. Max viewing distance can be 8 feet. (My vision is 6/6 for both eyes)13. Though Google Play Store is given, you cannot install even google chrome. I see only Chinese apps are available even in google play store. Don't expect to install apps just like you do it on smart phone.14. No issue with remote and response time is good too. Remote build quality is good too.15. No heating issues noted so far.16. Supports only 2.4 Ghz band WiFi.17. No manual power switch. If remote doesn't work, it will be a hell with Tv.18. Chromecast has ~0.3 sec delay which is very bad if you connect with laptop and work with mouse/touch pad.Suggestion 1: If price is not a issue, go for Samsung or LG.Suggestion 2: Want to enjoy premium experience, buy premium Tv, do not expect to find it from Chinese brands. Time is money, the more time you spend in exploring the options and unboxing videos in YouTube, consider adding that amount to the TV you buy.Hope my review will be a help."
8,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),OnePlus at its best,5.0,"Brilliant TV at affordable price , first sale TV was returned back as it was defective one. Brought it 2nd time. It’s totally worth it!"
9,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Pros. & Cons.,4.0,"The media could not be loaded.
                




   Product is on price 13k.  32inch y1Pros.Nice picture quality.Awsm dolby surround soundNo problem with casting with you tubeCons.Croma cast from mobile laging.Connect app not working.Data saver not available in 32 y1After 5 days..After dwnlg oxygen plan from play store croma cast is working without laging.Connect app is also working now.Data saver not found to 32y1"
